"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","1uF","C_0603_1608Metric","-6.262500","8.700000","0.000000","top"
"C2","1uF","C_0603_1608Metric","-6.200000","14.400000","180.000000","top"
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12","-7.555000","0.000000","-90.000000","top"
"R1","5k1","R_0603_1608Metric","-8.900000","-7.300000","90.000000","top"
"R2","5k1","R_0603_1608Metric","-7.200000","-7.300000","90.000000","top"
"R3","5k1","R_0603_1608Metric","-9.144000","-13.970000","180.000000","top"
"R4","56k","R_0603_1608Metric","-9.144000","-12.192000","180.000000","top"
"SW1","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","41.910000","10.160000","90.000000","top"
"SW2","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","41.910000","0.000000","90.000000","top"
"SW3","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","41.910000","-10.160000","90.000000","top"
"U2","AP2112K-3.3","SOT-23-5","-6.237500","11.450000","-90.000000","top"
