"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","1uF","C_0402_1005Metric","-21.582500","11.060000","-90.000000","top"
"C2","1uF","C_0402_1005Metric","-21.582500","9.060000","90.000000","top"
"C3","1uF","C_0402_1005Metric","-10.600000","0.500000","-90.000000","top"
"C4","1uF","C_0402_1005Metric","-14.500000","-5.800000","180.000000","top"
"C5","1uF","C_0402_1005Metric","-19.500000","5.800000","0.000000","top"
"C6","1uF","C_0402_1005Metric","-22.700000","-2.980000","90.000000","top"
"D1","LED","LED_0603_1608Metric","-18.750000","-10.000000","90.000000","top"
"D2","LED","LED_0603_1608Metric","-13.750000","-10.000000","90.000000","top"
"D3","LED","LED_0603_1608Metric","-16.250000","-10.000000","90.000000","top"
"D4","LED","LED_0603_1608Metric","-11.250000","-10.000000","90.000000","top"
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12","-29.555000","0.000000","-90.000000","top"
"R1","5.1k","R_0402_1005Metric","-25.060000","5.290000","90.000000","top"
"R2","5.1k","R_0402_1005Metric","-24.700000","-3.000000","90.000000","top"
"R3","5.1k","R_0402_1005Metric","-24.300000","-6.500000","180.000000","top"
"R4","330","R_0402_1005Metric","-20.250000","-8.800000","90.000000","top"
"R8","5.1k","R_0402_1005Metric","-11.000000","-1.500000","90.000000","top"
"R9","330","R_0402_1005Metric","-20.250000","-10.900000","-90.000000","top"
"R10","330","R_0402_1005Metric","-9.750000","-10.900000","90.000000","top"
"R12","330","R_0402_1005Metric","-9.750000","-8.800000","90.000000","top"
"SW1","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","-23.000000","-10.000000","-90.000000","top"
"U1","STM32F072CBTx","LQFP-48_7x7mm_P0.5mm","-17.000000","0.000000","90.000000","top"
"U2","AP2112K-3.3","SOT-23-5","-23.800000","10.000000","-180.000000","top"
"U3","USBLC6-2P6","SOT-666","-24.000000","-0.600000","0.000000","top"
