"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","1uF","C_0402_1005Metric","-5.400000","9.900000","-90.000000","top"
"C2","1uF","C_0402_1005Metric","-5.400000","7.900000","90.000000","top"
"C3","1uF","C_0402_1005Metric","-4.695000","-1.185000","-90.000000","top"
"C4","1uF","C_0402_1005Metric","-4.100000","5.900000","0.000000","top"
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12","-14.555000","0.000000","-90.000000","top"
"R1","5.1k","R_0402_1005Metric","-10.060000","5.290000","90.000000","top"
"R2","5.1k","R_0402_1005Metric","-9.670000","-2.460000","90.000000","top"
"R3","5.1k","R_0402_1005Metric","-8.700000","-6.500000","0.000000","top"
"R8","5.1k","R_0402_1005Metric","-5.795000","-1.185000","90.000000","top"
"SW1","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","-8.000000","-10.000000","-90.000000","top"
"U1","STM32F042G6Ux","QFN-28_4x4mm_P0.5mm","-5.340000","2.700000","0.000000","top"
"U2","AP2112K-3.3","SOT-23-5","-7.617500","8.840000","-180.000000","top"
"U3","USBLC6-2P6","SOT-666","-9.462500","2.575000","-270.000000","top"
