"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","1uF","C_0402_1005Metric","5.900000","1.600000","90.000000","top"
"C2","1uF","C_0402_1005Metric","12.800000","2.600000","90.000000","top"
"C3","1uF","C_0402_1005Metric","5.500000","6.812500","-90.000000","top"
"C4","1uF","C_0402_1005Metric","4.600000","-6.400000","90.000000","top"
"C5","1uF","C_0402_1005Metric","10.600000","6.912500","90.000000","top"
"C6","1uF","C_0402_1005Metric","25.400000","6.400000","-90.000000","top"
"C7","1uF","C_0402_1005Metric","19.400000","-6.912500","-90.000000","top"
"C8","1uF","C_0402_1005Metric","24.500000","-6.812500","90.000000","top"
"C9","1uF","C_0402_1005Metric","17.200000","-2.600000","-90.000000","top"
"C10","1uF","C_0402_1005Metric","24.100000","-1.600000","-90.000000","top"
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12","0.950000","0.000000","-90.000000","top"
"J4","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12","29.050000","0.000000","90.000000","top"
"R1","5.1k","R_0402_1005Metric","5.400000","3.900000","-90.000000","top"
"R2","5.1k","R_0402_1005Metric","5.400000","-1.900000","90.000000","top"
"R3","5.1k","R_0402_1005Metric","12.800000","0.600000","-90.000000","top"
"R4","5.1k","R_0402_1005Metric","13.200000","-1.000000","0.000000","top"
"R5","330R","R_0402_1005Metric","15.000000","-4.400000","90.000000","top"
"R6","5.1k","R_0402_1005Metric","24.600000","-3.900000","90.000000","top"
"R7","5.1k","R_0402_1005Metric","24.599999","1.900000","-90.000000","top"
"R8","5.1k","R_0402_1005Metric","17.200000","-0.600000","90.000000","top"
"R9","5.1k","R_0402_1005Metric","16.800000","1.000000","180.000000","top"
"R10","330R","R_0402_1005Metric","15.000000","3.600000","-90.000000","top"
"SW1","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","9.000000","-10.000000","180.000000","top"
"SW2","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","21.000000","10.000000","0.000000","top"
"U2","STM32F042G6Ux","QFN-28_4x4mm_P0.5mm","9.500000","1.000000","90.000000","top"
"U3","TLP2361","SO-5_4.4x3.6mm_P1.27mm","9.600000","-5.000000","0.000000","top"
"U4","AP2112K-3.3","SOT-23-5","8.100000","6.862500","-180.000000","top"
"U6","STM32F042G6Ux","QFN-28_4x4mm_P0.5mm","20.500000","-1.000000","-90.000000","top"
"U7","TLP2361","SO-5_4.4x3.6mm_P1.27mm","20.400000","5.000000","180.000000","top"
"U8","AP2112K-3.3","SOT-23-5","21.900000","-6.862500","0.000000","top"
