"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","1uF","C_0402_1005Metric","-9.262500","8.700000","0.000000","top"
"C2","1uF","C_0402_1005Metric","-9.200000","13.970000","180.000000","top"
"C3","1uF","C_0402_1005Metric","-7.950000","-8.750000","-90.000000","top"
"C4","1uF","C_0402_1005Metric","-6.850000","-7.670000","-90.000000","top"
"D1","LED","LED_0603_1608Metric","-2.600000","16.510000","180.000000","top"
"D2","LED","LED_0603_1608Metric","-2.600000","13.970000","180.000000","top"
"D3","LED","LED_0603_1608Metric","-2.600000","11.430000","180.000000","top"
"D4","LED","LED_0603_1608Metric","-2.600000","8.890000","180.000000","top"
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12","-10.555000","0.000000","-90.000000","top"
"R1","5.1k","R_0402_1005Metric","-12.700000","-6.200000","0.000000","top"
"R2","5.1k","R_0402_1005Metric","-10.387500","-6.200000","180.000000","top"
"R3","10k","R_0402_1005Metric","-1.500000","-19.200000","-90.000000","top"
"R4","10k","R_0402_1005Metric","-5.200000","16.520000","0.000000","top"
"R5","10k","R_0402_1005Metric","-5.200000","13.980000","0.000000","top"
"R6","10k","R_0402_1005Metric","-5.200000","11.440000","0.000000","top"
"R7","10k","R_0402_1005Metric","-5.200000","8.900000","0.000000","top"
"SW1","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","-5.000000","-20.000000","180.000000","top"
"SW2","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","59.000000","10.160000","90.000000","top"
"SW3","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","59.000000","0.000000","90.000000","top"
"SW4","SW_SPST","SW_Push_1P1T_NO_CK_KMR2","59.000000","-10.160000","90.000000","top"
"U1","STM32F042G6Ux","QFN-28_4x4mm_P0.5mm","-5.677500","-12.500000","90.000000","top"
"U2","AP2112K-3.3","SOT-23-5","-9.237500","11.450000","-90.000000","top"
